,countryCode,fullname,traderId,stockSymbol,stockName,tradeId,price,volume,tradeDatetime
0,NZ,Caitlyn Cruz,jDmYPxeqAWfCKCQCYFEx,AMZN,Amazon,k0-7245116K,2277.9561946,70.0,2020-01-06 04:12:38
1,GT,Holly Simmons,puCpymcjBdurvfVyRYry,TSLA,Tesla,r8-8004270g,1758.8,148.88715083798883,2020-01-06 11:06:36
2,TV,Vanessa Green,MUVGtYHdeMdauAxzEJvt,FB,Facebook,t3-4084648J,1696.0,22.0,2020-01-06 15:14:34
3,LC,Erin Grant,HToYfSueoxPSgBHsToac,TSLA,Tesla,W3-9745604g,1992.9433722744286,145.0,2020-01-06 22:00:32
4,GT,Holly Simmons,puCpymcjBdurvfVyRYry,TSLA,Tesla,b8-5512286A,2443.66698,191.0,2020-01-07 15:07:50
5,GD,Kyle Blair,RNvnAvOpyEVAoNGnVZQU,FB,Facebook,o7-2993512F,1515.4962429034,47.0,2020-01-07 16:46:27
6,KM,John Nguyen,JyfwFVYySnPCaLuQIazT,TSLA,Tesla,d9-6667946F,1725.0,169.0,2020-01-07 20:14:33
7,TN,Tony Hoffman,vHakrmHtTDvuKvIcxniB,FB,Facebook,W8-3625870F,1858.0,74.0,2020-01-08 11:00:44
8,TN,Tony Hoffman,vHakrmHtTDvuKvIcxniB,TSLA,Tesla,k4-1775446l,1867.0,233.0,2020-01-08 12:23:13
9,TN,Tony Hoffman,vHakrmHtTDvuKvIcxniB,FB,Facebook,o4-3294429O,1822.0,281.0,2020-01-08 17:03:33
10,UZ,Brandi Robbins,JTzVqzzIkFlrYUQbhnOR,FB,Facebook,U7-2418811Q,2048.3005663813,125.0,2020-01-08 18:15:04
11,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,AMZN,Amazon,w7-1879571K,1578.0,280.0,2020-01-08 21:02:12
12,JP,Christine Baldwin,vDAqsRnDaMrcomXsosXG,AMZN,Amazon,p2-0394661y,1992.9433722744286,240.0,2020-01-08 21:27:03
13,MK,Scott Thompson,sjAcfZksMRViIYdJRrnF,AMZN,Amazon,R6-0124226L,1992.9433722744286,233.0,2020-01-08 23:55:43
14,CV,April Floyd,stOzTFyGrgJGPgVPVTJQ,AMZN,Amazon,J0-3807965T,2362.1,17.0,2020-01-09 02:45:27
15,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,I1-6822699A,1524.11114,8.0,2020-01-09 10:15:58
16,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,G2-0826699y,2117.900771601,148.88715083798883,2020-01-09 20:05:48
17,NZ,Brandon Berry,xIZVPeFzGRmMglPrQfhK,TSLA,Tesla,R0-9756377S,1763.142,90.0,2020-01-09 20:34:25
18,RU,Jordan Walker,BJbHFDutYbbXjgkPWbwf,FB,Facebook,k1-4297970p,1992.9433722744286,136.0,2020-01-10 08:13:32
19,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,AMZN,Amazon,c5-4007793n,2281.0,28.0,2020-01-10 17:34:13
20,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,k0-2982271Q,1959.3,207.0,2020-01-10 23:24:29
21,GT,Holly Simmons,puCpymcjBdurvfVyRYry,TSLA,Tesla,q5-327672G,2414.0,211.0,2020-01-11 15:46:16
22,SZ,Blake Martin,WVcMKILUHtBkEahrPLrG,FB,Facebook,H0-6903714a,2123.8457,148.88715083798883,2020-01-11 17:41:04
23,RO,Lisa Brown,kBFQzPuESPIajAndSXpv,TSLA,Tesla,E6-0668897Z,2009.5209125,7.0,2020-01-12 04:39:44
